
***** VIDEOINPUT LIBRARY - 0.1995 - TFW07 *****

reading from input file
initializing...
52.6,-99.7071,-76.6741
52.7,-95.4215,-76.9388
52.8,-93.9268,-77.7866
52.9,-91.2278,-77.858
53,-91.2058,-78.1202
53.1,-90.8833,-76.8381
53.2,-91.3075,-76.6227
53.3,-91.145,-77.1828
53.4,-90.169,-77.8769
53.5,-90.6954,-79.3356
53.6,-89.9335,-80.6473
53.7,-88.791,-80.4264
53.8,-89.2126,-81.424
53.9,-88.3512,-81.4321
54,-88.2751,-81.6905
54.1,-88.7037,-82.4425
54.2,-88.131,-82.6679
54.3,-88.7213,-82.9964
54.4,-88.2826,-83.6446
54.5,-87.7377,-83.9676
54.6,-87.2396,-84.8687
54.7,-87.0495,-87.1494
54.8,-84.5766,-88.4689
54.9,-82.7156,-91.8549
55,-78.8434,-93.2639
55.1,-76.0237,-93.954
55.2,-71.3022,-93.5735
55.3,-65.6525,-94.7905
55.4,-62.1147,-94.179
55.5,-58.0966,-93.5718
56.3,-63.8012,-98.5347
56.4,-64.5969,-99.0237
56.5,-63.8646,-99.7918
56.6,-63.6636,-100.722
56.7,-62.5122,-102.517
56.8,-61.3313,-104.143
56.9,-59.9382,-105.626
57,-58.3215,-106.639
57.1,-56.4884,-106.952
57.2,-56.1086,-106.744
57.3,-56.0234,-106.814
57.4,-55.4398,-106.975
57.5,-55.1444,-108.451
57.6,-52.8845,-111.097
57.7,-50.07,-113.353
57.8,-45.2435,-114.288
58.7,-45.8962,-119.016
58.9,-46.691,-119.424
58.9,-45.0386,-121.648
60.7,-28.136,-113.942
60.8,-29.885,-114.998
60.9,-29.1689,-116.393
61,-26.9894,-116.787
61.1,-24.3376,-116.505
61.2,-24.5352,-116.858
61.3,-25.1978,-116.03
61.4,-25.6188,-115.689
61.5,-26.4731,-116.016
61.6,-26.4949,-116.457
61.7,-26.7388,-115.623
61.8,-30.7988,-112.942
62.8,-39.8275,-107.029
62.9,-39.9579,-105.707
63,-39.1636,-104.278
